fecha,precio_usd
2026-04-02 00:00:00,2139.0578887146285
2026-04-03 00:00:00,2056.8902960008427
2026-04-04 00:00:00,2053.6088145168164
2026-04-05 00:00:00,2064.9940579142453
2026-04-06 00:00:00,2109.005555869251
2026-04-07 00:00:00,2107.828320222534
2026-04-08 00:00:00,2241.8159903072574
2026-04-09 00:00:00,2190.478568186725
2026-04-10 00:00:00,2188.9744265525896
2026-04-11 00:00:00,2245.0457222392993
2026-04-12 00:00:00,2285.4701387600003
2026-04-13 00:00:00,2192.1608453362987
2026-04-14 00:00:00,2371.8632958349403
2026-04-15 00:00:00,2323.217827319875
2026-04-16 00:00:00,2359.683410161545
2026-04-17 00:00:00,2348.7047080527386
2026-04-18 00:00:00,2421.00695362286
2026-04-19 00:00:00,2350.9360042357484
2026-04-20 00:00:00,2264.8143990219965
2026-04-21 00:00:00,2315.024147296644
2026-04-22 00:00:00,2327.5116327297133
2026-04-23 00:00:00,2377.9343971512685
2026-04-24 00:00:00,2330.8275816492055
2026-04-25 00:00:00,2315.512435446713
2026-04-26 00:00:00,2319.1503239938397
2026-04-27 00:00:00,2369.743028837697
2026-04-28 00:00:00,2299.7704586966606
2026-04-29 00:00:00,2288.0449269490086
2026-04-30 00:00:00,2253.4583579638706
2026-05-01 00:00:00,2255.980291785015
2026-05-01 19:10:00,2306.9136257412356
